Month,Weekly_Sales,CPI,Unemployment
2,24924.5,211.0963582,8.106
2,11737.12,211.0963582,8.106
2,13223.76,211.0963582,8.106
2,46729.77,211.0963582,8.106
2,21249.31,211.0963582,8.106
2,32229.38,211.0963582,8.106
2,12251.94,211.0963582,8.106
2,115564.35,211.0963582,8.106
2,64494.87,211.0963582,8.106
2,24146.49,211.0963582,8.106
2,10217.55,211.0963582,8.106
2,106690.06,211.0963582,8.106
2,50605.27,211.0963582,8.106
2,39954.04,211.0963582,8.106
2,15694.17,211.0963582,8.106
2,40129.01,211.0963582,8.106
2,20837.77,211.0963582,8.106
2,76419.47,211.0963582,8.106
2,19466.91,211.0963582,8.106
2,56655.39,211.0963582,8.106
2,32153.04,211.0963582,8.106
2,11501.46,211.0963582,8.106
2,62424.14,211.0963582,8.106
2,13740.12,211.0963582,8.106
2,11875.84,211.0963582,8.106
2,30052.75,211.0963582,8.106
2,13623.98,211.0963582,8.106
2,19484.03,211.0963582,8.106
2,41969.29,211.0963582,8.106
2,66780.63,211.0963582,8.106
2,11609.5,211.0963582,8.106
2,30721.5,211.0963582,8.106
2,98499.12,211.0963582,8.106
2,139884.94,211.0963582,8.106
2,24213.18,211.0963582,8.106
2,10891.37,211.0963582,8.106
2,10887.84,211.2421698,8.106
2,36080.86,211.2421698,8.106
2,18826.47,211.2421698,8.106
2,36476.4,211.2421698,8.106
2,13403.66,211.2421698,8.106
2,22812.41,211.2421698,8.106
2,39254.57,211.2421698,8.106
2,35351.21,211.2421698,8.106
2,18310.31,211.2421698,8.106
2,18129.02,211.2421698,8.106
2,18892.81,211.2421698,8.106
2,21760.75,211.2421698,8.106
2,16309.73,211.2421698,8.106
2,14700.59,211.2421698,8.106
2,29620.81,211.2421698,8.106
2,16562.49,211.2421698,8.106
2,16139.05,211.2421698,8.106
2,16720.84,211.2421698,8.106
2,20949.36,211.2421698,8.106
2,70202.02,211.2421698,8.106
2,37334.83,211.2421698,8.106
2,30694.25,211.2421698,8.106
2,13268.75,211.2421698,8.106
2,62329.48,211.2421698,8.106
2,60828.25,211.2421698,8.106
2,10050.92,211.2421698,8.106
2,33874.47,211.2421698,8.106
2,94136.35,211.2421698,8.106
2,11857.96,211.2421698,8.106
2,31494.77,211.2421698,8.106
2,12852.83,211.2421698,8.106
2,14807.95,211.2421698,8.106
2,66937.0,211.2421698,8.106
2,111390.36,211.2421698,8.106
2,44682.74,211.2421698,8.106
2,79455.64,211.2421698,8.106
2,46039.49,211.2421698,8.106
2,11873.89,211.2421698,8.106
2,19006.5,211.2421698,8.106
2,17614.47,211.2421698,8.106
2,143081.42,211.2421698,8.106
2,79636.32,211.2421698,8.106
2,11523.47,211.2891429,8.106
2,62581.64,211.2891429,8.106
2,38717.6,211.2891429,8.106
2,19985.2,211.2891429,8.106
2,31585.78,211.2891429,8.106
2,37857.68,211.2891429,8.106
2,34141.62,211.2891429,8.106
2,15918.98,211.2891429,8.106
2,12087.95,211.2891429,8.106
2,10271.25,211.2891429,8.106
2,33593.8,211.2891429,8.106
2,13485.61,211.2891429,8.106
2,98672.59,211.2891429,8.106
2,13917.2,211.2891429,8.106
2,26468.27,211.2891429,8.106
2,28784.91,211.2891429,8.106
2,36826.95,211.2891429,8.106
2,20275.45,211.2891429,8.106
2,17491.36,211.2891429,8.106
2,15880.85,211.2891429,8.106
2,17404.53,211.2891429,8.106
2,13855.54,211.2891429,8.106
2,47928.89,211.2891429,8.106
2,17623.72,211.2891429,8.106
2,72212.32,211.2891429,8.106
2,68569.53,211.2891429,8.106
2,16736.17,211.2891429,8.106
2,41595.55,211.2891429,8.106
2,18706.21,211.2891429,8.106
2,20195.2,211.2891429,8.106
2,22414.94,211.2891429,8.106
2,29634.13,211.2891429,8.106
2,13006.5,211.2891429,8.106
2,10547.6,211.2891429,8.106
2,72377.79,211.2891429,8.106
2,21381.85,211.2891429,8.106
2,63011.44,211.2891429,8.106
2,12290.16,211.2891429,8.106
